Province,City,cluster
Prince Edward Island,Stratford,1
Prince Edward Island,Summerside,1
Prince Edward Island,Tignish,1
Prince Edward Island,Tyne Valley,1
Prince Edward Island,Victoria,1
Prince Edward Island,Wellington,1
Prince Edward Island,Other,1
Quebec,Brossard,1
Quebec,Chƒteauguay,1
Quebec,Dollard-des-Ormeaux,1
Quebec,Drummondville,1
Quebec,Gatineau,1
Quebec,Granby,1
Quebec,L‚vis,1
Quebec,Laval,1
Quebec,Longueuil,1
Quebec,Mascouche,1
Quebec,Mirabel,1
Quebec,Montreal,1
Quebec,Qu‚bec,2
Quebec,Repentigny,1
Quebec,Rimouski,2
Quebec,Rouyn-Noranda,2
Quebec,Saguenay,2
Quebec,Saint-Eustache,1
Quebec,Saint-Hyacinthe,1
Quebec,Saint-J‚r“me,1
Quebec,Saint-Jean-sur-Richelieu,1
Quebec,Shawinigan,1
Quebec,Sherbrooke,1
Quebec,Sorel-Tracy,1
Quebec,Terrebonne,1
Quebec,Trois-RiviŠres,1
Quebec,Victoriaville,1
Quebec,Southern Qubec,1
Quebec,Northern Quebec,2
Saskatchewan,Battleford,2
Saskatchewan,Dalmeny,2
Saskatchewan,Esterhazy,2
Saskatchewan,Estevan,2
Saskatchewan,Flin Flon,2
Saskatchewan,Humboldt,2
Saskatchewan,Kindersley,2
Saskatchewan,La Ronge,2
Saskatchewan,Lloydminster,2
Saskatchewan,Lumsden,2
Saskatchewan,Maple Creek,1
Saskatchewan,Martensville,2
Saskatchewan,Meadow Lake,2
Saskatchewan,Melfort,2
Saskatchewan,Melville,2
Saskatchewan,Moose Jaw,2
Saskatchewan,North Battleford,2
Saskatchewan,Prince Albert,2
Saskatchewan,Regina,2
Saskatchewan,Rosetown,2
Saskatchewan,Saskatoon,2
Saskatchewan,Swift Current,2
Saskatchewan,Warman,2
Saskatchewan,Weyburn,2
Saskatchewan,Yorkton,2
Saskatchewan,Other,2
